Moisture Level,Raw ADC,Time in s,Time of Day,Date
NEW TEST
0.25,8,176,12:37:24,30/04
0.0,0,177,12:37:25,30/04
0.0,0,178,12:37:26,30/04
0.0,0,179,12:37:27,30/04
0.0,0,180,12:37:28,30/04
0.0,0,181,12:37:29,30/04
0.0,0,182,12:37:30,30/04
0.49,16,183,12:37:31,30/04
0.19,6,184,12:37:32,30/04
0.0,0,185,12:37:33,30/04
0.0,0,186,12:37:34,30/04
0.0,0,187,12:37:35,30/04
0.0,0,188,12:37:36,30/04
0.0,0,189,12:37:37,30/04
0.25,8,190,12:37:38,30/04
0.4,13,191,12:37:39,30/04
0.19,6,192,12:37:40,30/04
0.0,0,193,12:37:41,30/04
0.0,0,194,12:37:42,30/04
0.0,0,195,12:37:43,30/04
0.0,0,196,12:37:44,30/04
0.0,0,197,12:37:45,30/04
0.37,12,198,12:37:46,30/04
0.12,4,199,12:37:47,30/04
0.0,0,200,12:37:48,30/04
0.0,0,201,12:37:49,30/04
0.0,0,202,12:37:50,30/04
0.0,0,203,12:37:51,30/04
0.0,0,204,12:37:52,30/04
0.0,0,205,12:37:53,30/04
0.4,13,206,12:37:54,30/04
0.22,7,207,12:37:55,30/04
0.0,0,208,12:37:56,30/04
0.0,0,209,12:37:57,30/04
0.0,0,210,12:37:58,30/04
0.0,0,211,12:37:59,30/04
0.0,0,212,12:38:00,30/04
0.37,12,213,12:38:01,30/04
0.22,7,214,12:38:02,30/04
0.09,3,215,12:38:03,30/04
0.0,0,216,12:38:04,30/04
0.0,0,217,12:38:05,30/04
0.0,0,218,12:38:06,30/04
0.0,0,219,12:38:07,30/04
0.25,8,220,12:38:08,30/04
0.31,10,221,12:38:09,30/04
0.12,4,222,12:38:10,30/04
0.0,0,223,12:38:11,30/04
0.0,0,224,12:38:12,30/04
0.0,0,225,12:38:13,30/04
0.0,0,226,12:38:14,30/04
0.31,10,227,12:38:15,30/04
0.12,4,228,12:38:16,30/04
0.0,0,229,12:38:17,30/04
